,entries,multiprocess
0,5.0,1.2209973335266113
1,10.0,2.11635160446167
2,15.0,3.1180341243743896
3,20.0,4.119753837585449
4,25.0,5.52293586730957
5,30.0,6.226830720901489
6,35.0,7.525158643722534
7,40.0,8.626477479934692
8,45.0,9.434785842895508
9,50.0,10.029090642929077
10,55.0,11.235452890396118
11,60.0,12.233043909072876
12,65.0,13.93526029586792
13,70.0,14.23921537399292
14,75.0,15.837754249572754
