,Treco,entries,gcFit,gcParam,import
0,-2.249363660812378,20,-8.730193614959717,-0.7741022109985352,-0.09499192237854004
1,-2.538363218307495,40,-14.25110125541687,-0.8658554553985596,-0.1943504810333252
2,-2.897921323776245,60,-19.748929977416992,-1.0552737712860107,-0.27704310417175293
3,-3.2109220027923584,80,-24.792723178863525,-1.2109472751617432,-0.391904354095459
